494,2408,896,2524
1367,820,1759,919
484,2534,836,2665
2308,2703,2603,2838
1609,2403,1986,2523
2339,2978,2760,3091
1828,1218,2243,1333
2477,2564,2757,2681
2321,1194,2650,1306
2306,3105,2564,3248
1482,2941,1726,3077
725,3079,991,3194
1881,3089,2196,3216
1229,2542,1525,2652
1225,1225,1547,1347
2346,2843,2716,2954
1180,2038,1463,2143
963,793,1332,897
1401,440,1770,529
1659,2699,1927,2799
1675,2062,1975,2156
1138,2798,1408,2920
2616,3113,2842,3255
836,2273,1215,2402
626,791,936,891
1984,2690,2225,2806
1768,2834,2005,2959
500,2790,698,2921
1494,2804,1708,2930
696,2919,911,3041
1294,2411,1547,2515
435,3041,639,3166
1760,2177,2013,2294
1267,348,1587,427
646,515,918,608
477,2288,760,2397
1884,2551,2090,2676
1809,826,2087,915
523,2167,779,2270
2289,2439,2533,2542
2006,2050,2259,2155
576,1231,851,1323
816,2802,1086,2906
1066,2654,1287,2769
2101,167,2322,268
